Year,State,Count,Sum_Homicide offenses,Sum_Fraud offenses,Sum_Human trafficking,Sum_Counterfeiting,Sum_Embezzlement,Sum_Pornography,Political_Leaning,PolClass,PolClassBin,Population,Per Capita SAR,Per Capita Homicide,Per Capita Fraud,Per Capita Trafficking,Per Capita Counterfeit,Per Capita Embezzlement,Per Capita Pornography,
2016,Alabama,28167,167,45,4,10,1,30,0,C,C,4863525,57.910000,3.433723,0.925255,0.082245,0.205612,0.020561,0.616837,0
2016,Alaska,5218,3,1,0,1,0,0,0,C,C,741456,70.380000,0.404609,0.134870,0.000000,0.134870,0.000000,0.000000,
2016,Arizona,36819,93,23,9,7,0,11,0,C,C,6941072,53.050000,1.339851,0.331361,0.129663,0.100849,0.000000,0.158477,
2016,Arkansas,14308,33,6,2,2,0,0,0,C,C,2989918,47.850000,1.103709,0.200674,0.066891,0.066891,0.000000,0.000000,
2016,California,376849,585,107,13,22,7,22,1,L,L,39167117,96.220000,1.493600,0.273188,0.033191,0.056170,0.017872,0.056170,
2016,Colorado,60915,4,4,0,0,0,1,1,L,L,5539215,109.970000,0.072212,0.072212,0.000000,0.000000,0.000000,0.018053,
2016,Connecticut,24189,21,1,0,1,0,0,1,L,L,3578141,67.600000,0.586897,0.027947,0.000000,0.027947,0.000000,0.000000,
2016,Delaware,87779,14,3,0,2,0,0,1,L,L,948921,925.040000,1.475360,0.316149,0.000000,0.210766,0.000000,0.000000,
2016,Florida,157665,395,38,7,4,0,32,0,C,C,20613477,76.490000,1.916222,0.184345,0.033958,0.019405,0.000000,0.155238,
2016,Georgia,73859,238,8,4,3,0,11,0,C,C,10301890,71.690000,2.310256,0.077656,0.038828,0.029121,0.000000,0.106777,
2016,Hawaii,15402,9,5,0,0,0,0,1,L,L,1427559,107.890000,0.630447,0.350248,0.000000,0.000000,0.000000,0.000000,
2016,Idaho,6018,15,0,1,0,0,4,0,C,C,1682380,35.770000,0.891594,0.000000,0.059440,0.000000,0.000000,0.237758,
2016,Illinois,63603,164,22,0,25,0,8,0.5,M,,12820527,49.610000,1.279199,0.171600,0.000000,0.195000,0.000000,0.062400,
2016,Indiana,32281,124,19,1,19,0,5,0,C,C,6634304,48.660000,1.869073,0.286390,0.015073,0.286390,0.000000,0.075366,
2016,Iowa,12715,11,2,2,4,0,0,0,C,C,3131371,40.610000,0.351284,0.063870,0.063870,0.127740,0.000000,0.000000,
